                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.7696,                0.44546,                  0.867,                0.84751,                0.86056,                 0.9054,                0.69495,                0.75178,                0.52114,                0.83478,               0.004951,               0.004951,               0.004951
                     53,                0.76461,                0.44176,                 0.8662,                0.83825,                0.86527,                0.90164,                 0.6915,                0.75498,                0.53007,                0.83654,               0.004852,               0.004852,               0.004852
                     54,                0.76645,                0.43995,                0.86529,                 0.8506,                0.86222,                0.90534,                 0.6916,                0.75529,                0.52552,                0.83691,               0.004753,               0.004753,               0.004753
                     55,                0.75981,                0.43708,                0.86423,                  0.841,                0.86853,                0.90418,                0.69378,                0.75139,                0.52752,                0.83595,               0.004654,               0.004654,               0.004654
                     56,                0.75719,                0.43295,                0.86467,                0.84622,                 0.8684,                0.90676,                0.69655,                 0.7516,                0.52144,                 0.8362,               0.004555,               0.004555,               0.004555
                     57,                0.75448,                0.43008,                0.86241,                0.85461,                0.84726,                0.90464,                0.69507,                 0.7515,                0.52458,                0.83552,               0.004456,               0.004456,               0.004456
                     58,                 0.7501,                0.42895,                 0.8613,                0.84441,                0.86771,                0.90527,                0.69601,                0.75201,                0.52627,                0.83692,               0.004357,               0.004357,               0.004357
                     59,                0.74653,                0.42139,                0.86077,                0.84484,                0.86446,                0.90279,                0.69235,                0.75399,                0.52775,                0.83601,               0.004258,               0.004258,               0.004258
                     60,                 0.7429,                0.41973,                0.86031,                0.83467,                 0.8725,                0.90335,                0.69303,                0.75484,                0.52912,                0.83687,               0.004159,               0.004159,               0.004159
                     61,                0.73959,                0.41787,                0.86005,                0.85157,                0.85883,                0.90268,                0.69279,                0.75526,                0.53084,                 0.8383,                0.00406,                0.00406,                0.00406
                     62,                0.73552,                0.41297,                0.85696,                0.84956,                0.86028,                0.90271,                 0.6923,                0.75357,                0.53537,                0.83412,               0.003961,               0.003961,               0.003961
                     63,                0.73108,                0.41164,                0.85884,                 0.8479,                0.86046,                0.90054,                0.69226,                0.75412,                0.53464,                0.83592,               0.003862,               0.003862,               0.003862
                     64,                0.72916,                0.40807,                0.85682,                0.84471,                0.86463,                 0.9042,                0.69445,                 0.7552,                0.53265,                 0.8355,               0.003763,               0.003763,               0.003763
                     65,                 0.7225,                0.40333,                0.85616,                 0.8498,                0.86292,                0.90503,                0.69527,                0.75399,                 0.5336,                0.83611,               0.003664,               0.003664,               0.003664
                     66,                0.72231,                 0.4028,                0.85636,                0.85092,                0.86222,                0.90579,                0.69458,                0.75278,                0.53148,                0.83657,               0.003565,               0.003565,               0.003565
                     67,                0.71801,                0.40052,                0.85462,                0.85163,                0.86217,                0.90483,                0.69486,                0.75107,                0.53116,                0.83549,               0.003466,               0.003466,               0.003466
                     68,                 0.7166,                0.39857,                0.85342,                0.85272,                0.86192,                 0.9038,                0.69458,                0.74976,                0.52929,                0.83443,               0.003367,               0.003367,               0.003367
                     69,                0.71003,                 0.3934,                0.85284,                0.85323,                 0.8619,                0.90406,                0.69553,                0.74997,                0.52895,                0.83475,               0.003268,               0.003268,               0.003268
                     70,                0.70421,                0.38818,                0.85185,                0.84953,                0.86401,                0.90528,                0.69522,                0.75022,                0.52936,                0.83479,               0.003169,               0.003169,               0.003169
                     71,                0.70177,                0.38758,                0.85211,                0.84846,                0.86326,                0.90402,                0.69542,                0.75023,                0.53277,                 0.8356,                0.00307,                0.00307,                0.00307
                     72,                0.69418,                0.38212,                0.85055,                0.85078,                0.86241,                 0.9021,                0.69373,                0.74892,                  0.534,                0.83545,               0.002971,               0.002971,               0.002971
                     73,                0.69072,                 0.3791,                0.84804,                0.84884,                0.86331,                0.90157,                0.69262,                 0.7504,                0.53398,                0.83618,               0.002872,               0.002872,               0.002872
                     74,                0.69099,                 0.3784,                0.84796,                0.84934,                0.85949,                0.90006,                0.69169,                 0.7514,                0.53823,                0.83682,               0.002773,               0.002773,               0.002773
                     75,                0.69009,                0.37686,                0.84862,                0.84586,                0.86314,                0.90043,                0.69242,                0.75136,                0.53852,                0.83673,               0.002674,               0.002674,               0.002674
                     76,                0.68029,                0.37111,                0.84452,                0.85178,                0.86003,                0.90066,                0.69223,                0.75093,                0.53998,                0.83622,               0.002575,               0.002575,               0.002575
                     77,                0.67392,                0.36746,                0.84608,                 0.8572,                0.85328,                0.90085,                0.69292,                0.75036,                0.53954,                0.83667,               0.002476,               0.002476,               0.002476
                     78,                0.67518,                  0.367,                0.84482,                0.84892,                0.86134,                0.90147,                0.69364,                0.75061,                0.54083,                 0.8367,               0.002377,               0.002377,               0.002377
                     79,                0.66796,                0.36185,                0.84459,                0.85101,                0.85763,                0.90038,                  0.693,                0.74987,                0.54365,                0.83586,               0.002278,               0.002278,               0.002278
                     80,                0.66458,                0.36024,                0.84325,                0.84532,                0.86317,                0.90032,                0.69237,                0.74999,                0.54346,                0.83626,               0.002179,               0.002179,               0.002179
                     81,                0.66194,                0.35753,                0.84374,                0.84543,                0.86141,                0.90014,                0.69337,                 0.7486,                0.54419,                0.83672,                0.00208,                0.00208,                0.00208
                     82,                0.65669,                0.35332,                0.84265,                0.84564,                0.85865,                 0.8994,                0.69331,                0.74865,                0.54558,                0.83731,               0.001981,               0.001981,               0.001981
