                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85735,                0.99798,                0.55657,                0.88951,                0.83148,                0.85294,                0.90268,                 0.6866,                0.82569,                0.84905,                0.89992,                0.68525,                0.76562,                0.68997,                0.55483,                0.84204,               0.006535,               0.006535,               0.006535
                     37,                0.85109,                0.99128,                0.55204,                0.88852,                0.84791,                0.83941,                 0.9057,                0.68839,                0.83702,                0.83052,                0.89551,                0.67598,                0.76188,                 0.6804,                 0.5438,                0.84089,               0.006436,               0.006436,               0.006436
                     38,                0.84588,                0.99105,                0.54887,                0.88612,                0.84389,                0.84918,                0.90632,                0.69005,                0.82914,                0.84796,                 0.8973,                0.68263,                0.76144,                0.67327,                0.54278,                0.84153,               0.006337,               0.006337,               0.006337
                     39,                0.84325,                0.98187,                0.54531,                0.88699,                0.84561,                0.85407,                0.90826,                0.68883,                0.83556,                0.84395,                0.89911,                0.68682,                0.76309,                0.68334,                0.54222,                 0.8427,               0.006238,               0.006238,               0.006238
                     40,                0.84105,                0.97305,                0.54161,                0.88684,                0.84848,                0.85343,                 0.9086,                 0.6909,                0.83577,                0.84063,                0.89692,                0.68327,                0.76152,                0.66833,                0.54202,                0.84047,               0.006139,               0.006139,               0.006139
                     41,                0.83762,                0.97301,                0.54024,                0.88438,                0.83633,                0.86244,                0.90709,                0.69103,                0.82328,                0.85361,                0.89722,                0.67928,                0.75829,                 0.6739,                0.53827,                0.83966,                0.00604,                0.00604,                0.00604
                     42,                0.83327,                0.96735,                0.53187,                0.88495,                0.83231,                0.86281,                0.90462,                0.68995,                0.82171,                 0.8557,                0.89441,                0.68196,                0.75416,                0.66969,                0.54179,                0.83892,               0.005941,               0.005941,               0.005941
                     43,                0.83253,                0.96795,                0.53237,                0.88343,                0.84295,                0.85751,                0.90526,                0.69132,                0.83414,                0.84645,                0.89503,                0.68184,                0.75284,                0.67187,                0.53868,                0.83705,               0.005842,               0.005842,               0.005842
                     44,                0.82813,                0.96505,                0.52524,                0.88177,                0.84429,                 0.8585,                0.90756,                0.69336,                 0.8289,                 0.8505,                 0.8962,                0.68764,                 0.7531,                0.66584,                0.53028,                0.83814,               0.005743,               0.005743,               0.005743
                     45,                0.82775,                0.96862,                0.52487,                0.88308,                0.83923,                0.86597,                0.91074,                0.69523,                0.83189,                0.84579,                0.89708,                0.68559,                0.75291,                0.67375,                0.53196,                0.83898,               0.005644,               0.005644,               0.005644
                     46,                0.82175,                0.95297,                0.51977,                0.88197,                0.85347,                0.84326,                0.91001,                0.69531,                0.84157,                0.83151,                0.89764,                 0.6806,                0.74994,                 0.6695,                0.53155,                0.83776,               0.005545,               0.005545,               0.005545
                     47,                 0.8202,                0.95476,                0.51568,                0.88054,                0.83431,                0.86804,                 0.9108,                0.69573,                0.82612,                0.85211,                0.89853,                0.68216,                0.75107,                0.67238,                  0.533,                 0.8378,               0.005446,               0.005446,               0.005446
                     48,                0.81844,                0.95131,                0.51373,                0.88019,                0.84414,                 0.8625,                0.90988,                0.69437,                0.83716,                0.84865,                0.89806,                0.68829,                0.75244,                0.66891,                0.53231,                0.83836,               0.005347,               0.005347,               0.005347
                     49,                 0.8168,                  0.949,                0.50935,                0.87655,                0.84199,                0.86152,                0.91126,                0.69548,                0.82708,                0.85019,                0.89802,                0.68575,                0.75127,                0.66686,                0.52768,                0.83623,               0.005248,               0.005248,               0.005248
                     50,                0.81262,                0.94839,                0.50402,                0.87522,                0.84346,                0.86356,                0.91091,                0.69579,                0.82986,                0.85267,                0.89925,                0.68602,                0.75006,                0.66556,                0.52697,                0.83608,               0.005149,               0.005149,               0.005149
                     51,                0.81021,                0.94544,                0.49942,                 0.8768,                0.85627,                0.85163,                 0.9116,                 0.6981,                0.84191,                0.84549,                0.90122,                0.69206,                0.74737,                0.66861,                0.52427,                0.83537,                0.00505,                0.00505,                0.00505
                     52,                0.80742,                0.93904,                0.49768,                0.87631,                0.85017,                0.85668,                0.91107,                0.69781,                0.83656,                0.84605,                 0.8995,                0.69014,                0.74734,                0.67131,                0.52252,                0.83414,               0.004951,               0.004951,               0.004951
                     53,                 0.8018,                 0.9361,                0.49618,                0.87485,                0.84882,                0.85968,                0.91142,                0.69841,                0.83517,                0.85011,                0.89968,                0.68866,                0.74696,                0.67041,                0.52316,                0.83477,               0.004852,               0.004852,               0.004852
                     54,                0.80188,                0.93952,                0.49298,                0.87422,                0.84898,                0.86443,                0.91134,                0.69771,                 0.8361,                0.85166,                 0.8995,                0.69135,                0.74561,                0.66427,                0.52514,                0.83539,               0.004753,               0.004753,               0.004753
                     55,                0.79405,                 0.9258,                  0.487,                0.87364,                0.85373,                0.85929,                0.91063,                0.69935,                0.84022,                0.84865,                0.90002,                0.69027,                0.74262,                0.66858,                0.52294,                0.83511,               0.004654,               0.004654,               0.004654
                     56,                0.79323,                0.93002,                0.48431,                 0.8723,                0.85415,                0.86034,                 0.9118,                0.70115,                0.83738,                0.85043,                 0.8996,                0.68832,                0.74198,                0.66482,                 0.5224,                0.83489,               0.004555,               0.004555,               0.004555
                     57,                0.78848,                0.92489,                0.47955,                0.87021,                 0.8506,                0.86175,                0.91042,                0.70014,                0.83851,                0.84762,                0.89925,                0.68621,                0.74381,                0.66499,                0.52354,                0.83436,               0.004456,               0.004456,               0.004456
                     58,                0.79005,                0.92065,                0.47949,                0.87128,                 0.8428,                0.86461,                0.90935,                0.69973,                0.82886,                0.85442,                 0.8989,                0.68727,                0.74273,                0.66706,                0.52301,                0.83441,               0.004357,               0.004357,               0.004357
                     59,                0.78709,                0.92021,                0.47556,                0.86857,                0.83966,                0.86679,                0.90868,                0.69984,                0.82698,                0.85665,                0.89875,                0.68732,                0.74018,                0.66538,                0.52342,                0.83451,               0.004258,               0.004258,               0.004258
                     60,                0.78512,                0.91617,                0.47117,                0.86741,                0.83967,                0.86908,                0.90946,                0.70108,                0.82358,                0.86047,                0.89881,                0.68876,                0.74012,                0.66676,                0.52479,                0.83364,               0.004159,               0.004159,               0.004159
                     61,                0.78053,                0.91015,                0.46798,                0.86597,                 0.8438,                0.86862,                0.90943,                0.70177,                0.82824,                 0.8597,                 0.8992,                0.69058,                 0.7398,                0.66793,                 0.5246,                0.83287,                0.00406,                0.00406,                0.00406
                     62,                0.77587,                0.90652,                0.46511,                0.86875,                0.84476,                0.87065,                0.90904,                 0.7007,                0.83167,                0.85847,                0.89892,                0.68809,                0.73906,                 0.6627,                0.52665,                0.83409,               0.003961,               0.003961,               0.003961
                     63,                0.77242,                0.90532,                0.46178,                0.86554,                0.85065,                0.86607,                0.91065,                0.70039,                0.83645,                0.85495,                0.90002,                0.69096,                0.74056,                 0.6628,                0.52766,                  0.835,               0.003862,               0.003862,               0.003862
                     64,                   0.77,                0.89889,                 0.4599,                0.86699,                 0.8538,                0.86612,                0.91132,                0.70145,                0.83854,                0.85557,                 0.9006,                0.69313,                0.74223,                0.66212,                0.52439,                0.83509,               0.003763,               0.003763,               0.003763
                     65,                0.76765,                0.90085,                0.45589,                0.86445,                0.85926,                0.86379,                0.91123,                0.70163,                0.84256,                0.85027,                0.89953,                0.69349,                0.74304,                0.66783,                0.52469,                0.83421,               0.003664,               0.003664,               0.003664
                     66,                0.76565,                0.89037,                0.45216,                0.86387,                0.85355,                0.86964,                0.91045,                0.70127,                0.83847,                0.85633,                0.89866,                0.69203,                0.74324,                0.66468,                0.52461,                0.83408,               0.003565,               0.003565,               0.003565
                     67,                0.76278,                0.88904,                0.45145,                0.86352,                0.85582,                0.86503,                0.90942,                0.70202,                0.84035,                0.84982,                0.89747,                0.69095,                0.74398,                0.66233,                0.52348,                0.83433,               0.003466,               0.003466,               0.003466
                     68,                0.75685,                0.88759,                0.44613,                0.86096,                0.85303,                0.86619,                0.90921,                0.70202,                 0.8393,                0.85151,                0.89736,                0.69152,                0.74276,                0.66374,                0.52453,                0.83436,               0.003367,               0.003367,               0.003367
                     69,                0.75367,                0.88235,                0.44283,                0.86218,                0.84911,                0.87122,                 0.9083,                0.70084,                0.83517,                0.85779,                0.89747,                0.69243,                0.74185,                0.66465,                0.52558,                0.83448,               0.003268,               0.003268,               0.003268
                     70,                0.75582,                0.88379,                0.44285,                0.86276,                0.84653,                0.86997,                0.90791,                0.70087,                0.83297,                0.85762,                0.89677,                0.69147,                0.74217,                0.66465,                0.52494,                 0.8347,               0.003169,               0.003169,               0.003169
                     71,                 0.7485,                0.87942,                0.43569,                0.85858,                0.84721,                0.86873,                0.90818,                0.70117,                0.83076,                0.85863,                0.89702,                0.69259,                0.74231,                  0.666,                0.52622,                 0.8345,                0.00307,                0.00307,                0.00307
                     72,                0.74319,                0.87336,                0.43163,                0.85673,                0.84403,                0.87535,                0.90877,                 0.7018,                0.82784,                0.86431,                0.89745,                 0.6946,                0.74215,                0.66631,                0.52847,                 0.8337,               0.002971,               0.002971,               0.002971
                     73,                0.74753,                0.87693,                0.43201,                0.85913,                0.84142,                0.87659,                 0.9083,                0.70196,                0.82738,                0.86405,                0.89719,                0.69428,                0.74208,                0.66516,                0.52786,                0.83336,               0.002872,               0.002872,               0.002872
                     74,                0.74141,                0.87195,                0.42836,                0.85866,                0.84653,                0.87195,                0.90797,                0.70173,                 0.8316,                0.86064,                 0.8967,                0.69399,                0.74225,                0.66493,                0.52771,                0.83349,               0.002773,               0.002773,               0.002773
                     75,                0.73473,                0.86326,                0.42467,                0.85435,                0.84323,                0.87346,                0.90786,                0.70137,                0.82796,                0.86113,                 0.8963,                0.69404,                0.74268,                0.66429,                0.52888,                0.83316,               0.002674,               0.002674,               0.002674
                     76,                0.73204,                0.86526,                0.42242,                0.85429,                0.84544,                0.87025,                0.90773,                0.70156,                0.83298,                0.85619,                 0.8961,                0.69392,                0.74291,                0.66534,                0.52961,                0.83245,               0.002575,               0.002575,               0.002575
                     77,                0.72925,                0.86051,                0.41957,                0.85408,                0.84689,                0.86849,                0.90772,                0.70168,                0.83514,                0.85432,                0.89621,                 0.6938,                0.74321,                 0.6674,                0.52965,                0.83216,               0.002476,               0.002476,               0.002476
                     78,                0.72633,                0.85795,                0.41594,                 0.8533,                0.84683,                0.86985,                 0.9075,                0.70128,                0.83664,                0.85558,                0.89599,                0.69356,                0.74337,                0.66781,                0.53044,                0.83199,               0.002377,               0.002377,               0.002377
                     79,                0.72017,                0.85968,                0.41105,                0.85208,                0.84383,                0.87254,                0.90748,                0.70149,                0.83456,                0.85645,                0.89629,                0.69366,                0.74379,                0.66824,                0.53069,                0.83185,               0.002278,               0.002278,               0.002278
                     80,                 0.7207,                0.84965,                0.41154,                0.85142,                 0.8436,                0.87244,                0.90701,                 0.7012,                0.83206,                0.85858,                0.89574,                 0.6929,                0.74353,                0.66828,                0.53159,                0.83163,               0.002179,               0.002179,               0.002179
                     81,                0.71538,                0.84598,                 0.4078,                0.85324,                0.84273,                 0.8745,                0.90686,                0.70077,                 0.8297,                0.85955,                0.89529,                0.69244,                0.74341,                 0.6684,                 0.5314,                 0.8319,                0.00208,                0.00208,                0.00208
                     82,                0.71576,                0.84353,                0.40576,                0.85209,                 0.8421,                0.87532,                0.90692,                0.70078,                0.82857,                0.86086,                0.89489,                0.69286,                0.74349,                0.66858,                0.53158,                0.83174,               0.001981,               0.001981,               0.001981
                     83,                0.71137,                0.84284,                0.40129,                0.84943,                0.84072,                0.87611,                0.90708,                0.70085,                0.82786,                0.86091,                0.89509,                0.69219,                0.74337,                0.66833,                0.53171,                0.83143,               0.001882,               0.001882,               0.001882
                     84,                0.70774,                0.84322,                0.39901,                0.84806,                0.84112,                0.87549,                0.90735,                0.70076,                0.82744,                0.86123,                0.89476,                0.69166,                0.74371,                0.66794,                0.53253,                0.83107,               0.001783,               0.001783,               0.001783
                     85,                0.70442,                0.83103,                0.39749,                0.84926,                0.84215,                0.87492,                0.90686,                0.70061,                0.82825,                0.86048,                0.89394,                0.69161,                0.74399,                0.66649,                0.53354,                0.83094,               0.001684,               0.001684,               0.001684
                     86,                0.69977,                0.83014,                0.39149,                0.84699,                0.84263,                0.87426,                0.90667,                0.70018,                0.82905,                0.86062,                0.89421,                0.69172,                0.74456,                0.66563,                0.53367,                0.83088,               0.001585,               0.001585,               0.001585
                     87,                 0.6939,                0.82514,                0.38795,                 0.8467,                0.84462,                 0.8733,                0.90632,                0.70039,                0.83095,                0.85919,                0.89403,                0.69228,                0.74461,                0.66489,                0.53437,                0.83092,               0.001486,               0.001486,               0.001486
                     88,                0.69296,                0.82652,                0.38592,                0.84654,                0.84341,                0.87337,                0.90636,                0.70051,                0.83004,                0.85954,                0.89443,                0.69227,                0.74483,                0.66454,                0.53449,                0.83102,               0.001387,               0.001387,               0.001387
                     89,                0.68669,                   0.82,                0.38488,                0.84545,                0.84346,                0.87344,                0.90652,                0.70074,                0.83049,                0.86003,                0.89522,                0.69287,                0.74461,                0.66187,                0.53475,                 0.8309,               0.001288,               0.001288,               0.001288
                     90,                0.68345,                0.81751,                0.38108,                0.84573,                0.84352,                0.87344,                0.90633,                0.70077,                 0.8296,                0.86003,                0.89444,                0.69238,                0.74484,                0.66198,                0.53494,                0.83087,               0.001189,               0.001189,               0.001189
