                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83388,                0.97388,                0.52026,                0.89558,                0.85836,                0.83935,                0.90285,                0.68807,                0.82919,                0.84868,                0.89998,                0.69425,                0.75995,                0.68415,                0.53283,                0.84502,               0.006634,               0.006634,               0.006634
                     36,                0.82983,                0.97393,                0.51736,                0.89316,                0.85458,                 0.8387,                0.90629,                0.68694,                0.83674,                0.83601,                 0.8973,                0.69391,                0.76041,                 0.6833,                0.53481,                0.84825,               0.006535,               0.006535,               0.006535
                     37,                0.82434,                0.96938,                 0.5126,                0.89114,                0.85399,                0.84052,                0.90078,                0.68762,                0.83052,                0.85899,                  0.901,                0.69379,                0.75754,                 0.6805,                0.52871,                0.84286,               0.006436,               0.006436,               0.006436
                     38,                0.82074,                 0.9656,                0.50953,                0.89237,                0.85359,                0.84214,                0.90808,                0.69183,                0.84216,                0.83078,                0.89955,                0.69498,                0.75734,                 0.6804,                0.52302,                0.84611,               0.006337,               0.006337,               0.006337
                     39,                0.81903,                0.95819,                0.50402,                0.88836,                0.85467,                0.85703,                0.91033,                0.69247,                0.84448,                0.84499,                0.90034,                0.69381,                0.75474,                0.66768,                0.52481,                0.84251,               0.006238,               0.006238,               0.006238
                     40,                0.81492,                0.95492,                 0.4999,                0.88724,                0.86747,                0.83424,                0.90362,                 0.6923,                0.83753,                0.84571,                0.89997,                0.69841,                0.74942,                0.67409,                0.52304,                0.84401,               0.006139,               0.006139,               0.006139
                     41,                0.81415,                 0.9537,                0.49567,                0.88667,                0.86155,                0.83953,                0.90621,                0.69246,                0.83521,                0.85172,                 0.9014,                 0.6958,                0.75306,                0.67346,                0.52606,                0.84276,                0.00604,                0.00604,                0.00604
                     42,                0.81042,                0.95255,                0.49115,                0.88229,                0.85815,                0.85405,                0.91105,                0.69611,                 0.8449,                0.83943,                0.89994,                0.69103,                0.75024,                0.68193,                0.52546,                0.84109,               0.005941,               0.005941,               0.005941
                     43,                0.80567,                0.94643,                0.48848,                0.88333,                0.85807,                0.84397,                0.90561,                0.69564,                0.84724,                0.83895,                 0.8994,                0.69287,                0.74669,                0.67735,                0.51584,                0.84052,               0.005842,               0.005842,               0.005842
                     44,                0.80457,                 0.9426,                0.48418,                0.88053,                0.85612,                 0.8538,                0.90936,                0.69705,                0.84301,                0.84115,                0.89756,                0.68744,                0.74757,                0.67701,                0.51612,                0.84136,               0.005743,               0.005743,               0.005743
                     45,                0.79803,                0.93684,                0.47653,                0.87953,                0.85014,                0.85678,                0.90756,                0.69587,                0.82615,                0.85679,                 0.8965,                0.69253,                0.74829,                0.67592,                0.52066,                0.84215,               0.005644,               0.005644,               0.005644
                     46,                0.79906,                0.93742,                0.47922,                0.88254,                0.85163,                0.86127,                 0.9075,                 0.6977,                0.83844,                0.85071,                0.89747,                0.69132,                 0.7419,                0.67129,                0.51923,                 0.8402,               0.005545,               0.005545,               0.005545
                     47,                0.79478,                0.92531,                0.47489,                0.87959,                0.85018,                0.86306,                0.90856,                0.69799,                0.84213,                0.84966,                0.89945,                0.69141,                0.74432,                0.66137,                0.52069,                0.84181,               0.005446,               0.005446,               0.005446
                     48,                0.79158,                0.92775,                0.46935,                0.88101,                0.84474,                0.86872,                0.90967,                0.69766,                0.83277,                0.85735,                0.89883,                0.69088,                 0.7463,                0.67013,                0.52032,                0.84107,               0.005347,               0.005347,               0.005347
                     49,                0.78762,                0.91778,                0.46554,                0.87951,                 0.8477,                0.86456,                   0.91,                0.69996,                0.83784,                0.85314,                0.89928,                0.69446,                 0.7432,                0.66845,                0.51877,                0.83972,               0.005248,               0.005248,               0.005248
                     50,                0.78535,                0.92291,                0.46218,                0.87909,                0.84879,                 0.8665,                0.90831,                0.69696,                0.83599,                0.85844,                0.89762,                0.69195,                 0.7443,                0.66808,                0.51972,                0.83996,               0.005149,               0.005149,               0.005149
                     51,                0.77934,                0.91294,                0.45805,                0.87637,                 0.8471,                0.86881,                0.90837,                0.69839,                0.83593,                0.85606,                0.89747,                0.69397,                0.74398,                 0.6713,                0.51935,                0.84051,                0.00505,                0.00505,                0.00505
                     52,                0.77495,                0.90645,                0.45557,                0.87481,                 0.8379,                0.87363,                0.91099,                0.70148,                0.82613,                0.86067,                0.89957,                 0.6984,                0.74171,                0.67213,                0.52168,                0.84039,               0.004951,               0.004951,               0.004951
                     53,                0.77508,                0.90946,                0.45508,                0.87442,                0.84136,                0.86954,                0.90991,                0.70128,                0.82781,                0.85501,                0.89733,                 0.6941,                0.74054,                0.67017,                0.51909,                0.83966,               0.004852,               0.004852,               0.004852
                     54,                0.76702,                0.89979,                0.44732,                0.87285,                 0.8527,                0.86222,                0.90927,                0.70039,                0.83571,                 0.8499,                0.89622,                0.69393,                0.74264,                 0.6708,                0.51817,                0.84015,               0.004753,               0.004753,               0.004753
                     55,                0.76365,                0.89426,                0.44062,                0.87251,                0.84405,                0.87396,                0.91008,                0.70063,                0.83157,                0.86141,                 0.8989,                0.69747,                0.74105,                0.67295,                0.51921,                0.83877,               0.004654,               0.004654,               0.004654
                     56,                0.76399,                0.89636,                0.44169,                0.87249,                0.84926,                0.86619,                0.91088,                0.70266,                0.83376,                0.85722,                0.89973,                0.69442,                0.73993,                0.66628,                 0.5175,                0.83835,               0.004555,               0.004555,               0.004555
                     57,                0.75906,                0.89061,                0.43749,                0.87052,                 0.8479,                 0.8657,                0.90998,                0.70264,                0.83777,                0.85265,                0.89869,                0.69478,                0.73948,                0.66152,                0.51731,                0.83905,               0.004456,               0.004456,               0.004456
                     58,                  0.761,                0.88844,                0.43811,                0.87015,                0.84179,                0.87031,                0.91032,                0.70236,                0.83018,                0.85727,                0.89857,                0.69567,                0.74183,                0.66607,                0.51886,                0.83988,               0.004357,               0.004357,               0.004357
                     59,                0.75062,                0.88051,                0.42936,                0.86678,                0.84256,                0.87227,                0.90916,                0.70176,                0.83189,                0.85938,                0.89797,                0.69585,                0.74102,                0.66607,                0.52138,                0.83871,               0.004258,               0.004258,               0.004258
                     60,                 0.7508,                0.88944,                0.42838,                0.86595,                0.83713,                0.87661,                0.90774,                0.70059,                0.82541,                0.86427,                0.89681,                0.69499,                0.74146,                0.66806,                0.52387,                0.83817,               0.004159,               0.004159,               0.004159
                     61,                0.74797,                0.87694,                0.42465,                0.86574,                0.84244,                 0.8703,                0.90753,                0.70062,                0.82834,                0.85843,                0.89549,                0.69497,                 0.7428,                 0.6663,                0.52433,                0.83874,                0.00406,                0.00406,                0.00406
                     62,                0.74155,                0.86608,                0.42209,                0.86203,                0.85053,                0.85882,                0.90728,                0.70086,                0.82483,                0.86101,                0.89603,                0.69466,                0.74344,                0.66705,                 0.5246,                0.83865,               0.003961,               0.003961,               0.003961
                     63,                0.73892,                0.86939,                0.41993,                0.85956,                0.85532,                0.85373,                0.90626,                 0.6999,                0.84395,                0.84136,                0.89589,                0.69533,                0.74417,                0.67062,                0.52644,                0.83816,               0.003862,               0.003862,               0.003862
                     64,                 0.7343,                0.86991,                0.41645,                0.86216,                0.85827,                0.85127,                0.90649,                0.70035,                0.84572,                0.83901,                0.89536,                0.69297,                0.74379,                0.67152,                0.52493,                0.83887,               0.003763,               0.003763,               0.003763
                     65,                0.73013,                0.86373,                0.41171,                0.86248,                0.85271,                0.86129,                0.90665,                0.69999,                0.84123,                0.84487,                0.89453,                0.69395,                0.74345,                0.67094,                0.52352,                0.83854,               0.003664,               0.003664,               0.003664
                     66,                0.72857,                 0.8629,                0.41073,                0.85981,                0.85167,                0.86041,                0.90718,                0.69959,                 0.8385,                0.84805,                0.89595,                0.69451,                0.74238,                0.67129,                0.52451,                0.83692,               0.003565,               0.003565,               0.003565
                     67,                0.72532,                0.85872,                0.40682,                0.86129,                0.84132,                0.87052,                0.90666,                0.70033,                0.83927,                0.84759,                0.89579,                0.69506,                0.74177,                0.67178,                0.52619,                0.83662,               0.003466,               0.003466,               0.003466
                     68,                0.72706,                0.85491,                0.40285,                0.86325,                0.84019,                0.87049,                0.90647,                0.69964,                0.82853,                0.85777,                0.89595,                0.69472,                0.74239,                0.67153,                0.52693,                0.83742,               0.003367,               0.003367,               0.003367
                     69,                0.71998,                0.85018,                0.40148,                0.86153,                0.84065,                0.87088,                0.90645,                0.69973,                0.83056,                0.85661,                0.89611,                0.69445,                0.74209,                0.66886,                 0.5293,                0.83806,               0.003268,               0.003268,               0.003268
                     70,                 0.7159,                0.84699,                0.39688,                0.85828,                0.84074,                0.87104,                0.90613,                0.69913,                0.83027,                0.85806,                0.89595,                0.69476,                0.74264,                0.66925,                0.52996,                0.83867,               0.003169,               0.003169,               0.003169
