                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.62908,                0.56951,                0.07395,                  0.846,                0.72558,                0.79744,                0.56335,                0.41179,                0.58921,                0.05008,               0.003565,               0.003565,               0.003565
                     67,                0.65242,                0.56438,                0.07617,                0.84867,                0.71989,                0.79338,                0.56295,                0.40916,                0.59215,                0.05026,               0.003466,               0.003466,               0.003466
                     68,                0.61788,                0.53562,                0.06891,                 0.8464,                0.73757,                0.80542,                0.57158,                0.40053,                0.58466,                0.04925,               0.003367,               0.003367,               0.003367
                     69,                0.60184,                0.54541,                0.06864,                0.84558,                0.74482,                0.80947,                0.57255,                0.40282,                0.57932,                0.04956,               0.003268,               0.003268,               0.003268
                     70,                0.60048,                0.53914,                0.06838,                 0.8401,                0.74483,                0.80943,                0.57345,                0.40156,                0.58249,                0.04982,               0.003169,               0.003169,               0.003169
                     71,                0.63658,                0.57975,                0.07568,                0.83007,                0.73287,                0.80339,                0.56997,                0.39979,                0.59634,                0.04945,                0.00307,                0.00307,                0.00307
                     72,                0.64579,                 0.5683,                0.07785,                0.82919,                0.71939,                0.79615,                  0.567,                0.40005,                0.60573,                0.04925,               0.002971,               0.002971,               0.002971
                     73,                0.62984,                0.56139,                0.07536,                0.83215,                0.71808,                0.79701,                 0.5674,                0.40212,                0.59905,                0.04954,               0.002872,               0.002872,               0.002872
                     74,                0.61908,                0.54826,                 0.0737,                0.83344,                0.72068,                0.79896,                0.56798,                 0.4041,                0.59287,                0.04961,               0.002773,               0.002773,               0.002773
                     75,                0.61139,                0.57257,                0.07226,                0.83149,                0.71814,                0.79788,                0.56812,                0.40189,                0.59864,                0.04921,               0.002674,               0.002674,               0.002674
                     76,                0.58667,                 0.5484,                0.06991,                0.83428,                0.71543,                0.79773,                0.56936,                0.40039,                0.59712,                0.04913,               0.002575,               0.002575,               0.002575
                     77,                0.61557,                0.53673,                0.07252,                0.83795,                0.72101,                0.80111,                0.57083,                0.39845,                0.59254,                 0.0491,               0.002476,               0.002476,               0.002476
                     78,                0.59113,                0.53473,                0.06819,                0.83738,                0.72517,                0.80299,                0.57265,                 0.4006,                0.58735,                0.04971,               0.002377,               0.002377,               0.002377
                     79,                 0.6045,                0.53515,                0.07113,                0.83802,                 0.7299,                0.80578,                0.57388,                0.40128,                0.58396,                0.04947,               0.002278,               0.002278,               0.002278
                     80,                0.59504,                0.53859,                0.06923,                 0.8343,                0.73048,                0.80771,                0.57557,                0.39988,                0.58287,                0.04925,               0.002179,               0.002179,               0.002179
                     81,                0.57711,                 0.5486,                0.06763,                0.83941,                0.72901,                0.80826,                0.57672,                0.40045,                0.57984,                0.04938,                0.00208,                0.00208,                0.00208
                     82,                0.54994,                0.53652,                0.06272,                0.83804,                0.73371,                0.81066,                0.57845,                0.39917,                0.57869,                0.04937,               0.001981,               0.001981,               0.001981
                     83,                0.55405,                0.51939,                0.06294,                0.83739,                0.73581,                0.81121,                0.57955,                0.39731,                0.57867,                0.04906,               0.001882,               0.001882,               0.001882
                     84,                0.55978,                0.52742,                0.06536,                0.83793,                0.73857,                0.81307,                0.57941,                0.39986,                0.57353,                0.04917,               0.001783,               0.001783,               0.001783
                     85,                 0.5676,                0.51882,                0.06697,                0.83778,                0.74732,                0.81778,                0.58361,                0.39822,                0.56923,                0.04913,               0.001684,               0.001684,               0.001684
                     86,                0.53267,                0.51029,                0.06055,                0.83416,                 0.7536,                0.82053,                 0.5849,                0.39816,                0.56705,                0.04912,               0.001585,               0.001585,               0.001585
                     87,                0.53318,                0.50006,                0.06119,                0.83468,                0.75891,                0.82261,                0.58567,                0.39638,                0.56372,                0.04901,               0.001486,               0.001486,               0.001486
                     88,                0.52273,                0.50737,                0.06077,                0.83323,                0.76369,                0.82547,                 0.5869,                0.39777,                 0.5594,                0.04919,               0.001387,               0.001387,               0.001387
                     89,                0.52178,                0.51252,                0.06035,                 0.8341,                0.76801,                0.82602,                0.58669,                0.39526,                0.56028,                0.04889,               0.001288,               0.001288,               0.001288
                     90,                0.49948,                0.53418,                0.05731,                 0.8316,                0.76643,                0.82649,                0.58743,                0.39625,                0.56072,                0.04907,               0.001189,               0.001189,               0.001189
                     91,                0.48032,                0.54314,                0.05597,                0.83193,                0.76668,                0.82689,                0.58754,                 0.3962,                0.56174,                0.04898,                0.00109,                0.00109,                0.00109
                     92,                0.47301,                0.53218,                0.05441,                0.83611,                0.75961,                0.82572,                0.58783,                 0.3938,                0.56425,                0.04896,               0.000991,               0.000991,               0.000991
                     93,                 0.4541,                0.55303,                0.05259,                0.83406,                0.76183,                0.82529,                 0.5876,                0.39314,                0.56642,                0.04888,               0.000892,               0.000892,               0.000892
                     94,                0.44668,                0.56457,                 0.0517,                0.83393,                0.76038,                0.82551,                0.58767,                0.39166,                0.56857,                0.04877,               0.000793,               0.000793,               0.000793
                     95,                0.44027,                0.54662,                0.05112,                0.83526,                0.75508,                0.82448,                0.58783,                0.39265,                0.56871,                0.04913,               0.000694,               0.000694,               0.000694
                     96,                0.43438,                0.53322,                0.04986,                0.83755,                 0.7541,                0.82492,                0.58788,                0.39255,                0.56975,                0.04902,               0.000595,               0.000595,               0.000595
                     97,                0.42348,                0.53188,                0.04895,                0.83798,                0.75463,                0.82618,                 0.5883,                0.38964,                0.57068,                0.04846,               0.000496,               0.000496,               0.000496
                     98,                0.41512,                0.53699,                  0.048,                0.83664,                0.75505,                0.82597,                0.58908,                 0.3877,                0.57159,                0.04836,               0.000397,               0.000397,               0.000397
                     99,                0.40984,                0.52889,                0.04735,                0.83675,                0.75463,                0.82614,                0.58936,                0.38714,                 0.5719,                0.04805,               0.000298,               0.000298,               0.000298
                    100,                0.39762,                0.51343,                 0.0458,                0.83965,                0.75454,                0.82705,                0.59112,                0.38497,                0.57169,                0.04777,               0.000199,               0.000199,               0.000199
